Player,Tm_Abr,G_Tot,GS_Tot,Tgt_Tot,Rec_Tot,Ctch%_Tot,Yds_Tot,Y/R_Tot,TD_Tot,1D_Tot,Lng_Tot,Y/Tgt_Tot,R/G_Tot,Y/G_Tot,Fmb_Tot,Team,Pos,receiving/receiving-receptions_home_Avg,receiving/receiving-receptions_division_Avg,receiving/receiving-receptions_last_2_weeks_Avg,receiving/receiving-receptions_last_4_weeks_Avg,receiving/receiving-receptions_top_10_nfl_Avg,receiving/receiving-yards_home_Avg,receiving/receiving-yards_division_Avg,receiving/receiving-yards_last_2_weeks_Avg,receiving/receiving-yards_last_4_weeks_Avg,receiving/receiving-yards_top_10_nfl_Avg,receiving/receiving-yards-per-catch_home_Avg,receiving/receiving-yards-per-catch_division_Avg,receiving/receiving-yards-per-catch_last_2_weeks_Avg,receiving/receiving-yards-per-catch_last_4_weeks_Avg,receiving/receiving-yards-per-catch_top_10_nfl_Avg,receiving/receiving-touchdowns_home_Avg,receiving/receiving-touchdowns_division_Avg,receiving/receiving-touchdowns_last_2_weeks_Avg,receiving/receiving-touchdowns_last_4_weeks_Avg,receiving/receiving-touchdowns_top_10_nfl_Avg,receiving/receiving-longest-yards_home_Avg,receiving/receiving-longest-yards_division_Avg,receiving/receiving-longest-yards_last_2_weeks_Avg,receiving/receiving-longest-yards_last_4_weeks_Avg,receiving/receiving-longest-yards_top_10_nfl_Avg,receiving/receiving-targeted_home_Avg,receiving/receiving-targeted_division_Avg,receiving/receiving-targeted_last_2_weeks_Avg,receiving/receiving-targeted_last_4_weeks_Avg,receiving/receiving-targeted_top_10_nfl_Avg,receiving/receiving-catch-rate_home_Avg,receiving/receiving-catch-rate_division_Avg,receiving/receiving-catch-rate_last_2_weeks_Avg,receiving/receiving-catch-rate_last_4_weeks_Avg,receiving/receiving-catch-rate_top_10_nfl_Avg,receiving/receiving-2pt-conversions-succeeded_home_Avg,receiving/receiving-2pt-conversions-succeeded_division_Avg,receiving/receiving-2pt-conversions-succeeded_last_2_weeks_Avg,receiving/receiving-2pt-conversions-succeeded_last_4_weeks_Avg,receiving/receiving-2pt-conversions-succeeded_top_10_nfl_Avg
Chris Godwin,TAM,14.0,14.0,127.0,98.0,77.2,1103.0,11.3,5.0,55.0,44.0,8.7,7.0,78.8,2.0,Tampa Bay Buccaneers,WR,7.14,8.25,0.0,0.0,8.33,81.0,98.5,0.0,0.0,94.67,11.3,11.9,0.0,0.0,11.4,0.57,0.5,0.0,0.0,0.33,0.0,44.0,0.0,0.0,0.0,9.71,10.25,0.0,0.0,11.67,73.5,80.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dj Moore,CAR,17.0,17.0,163.0,93.0,57.1,1157.0,12.4,4.0,60.0,64.0,7.1,5.5,68.1,1.0,Carolina Panthers,WR,5.38,5.5,0.0,0.0,6.5,61.88,65.5,0.0,0.0,75.75,11.5,11.9,0.0,0.0,11.7,0.25,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,39.0,9.38,9.83,0.0,0.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Travis Kelce,KAN,16.0,16.0,134.0,92.0,68.7,1125.0,12.2,9.0,63.0,69.0,8.4,5.8,70.3,1.0,Kansas City Chiefs,TE,5.64,5.83,0.0,9.0,6.57,69.0,83.67,0.0,95.5,68.57,12.2,14.3,0.0,10.6,0.0,0.64,0.5,0.0,1.0,0.71,48.0,69.0,0.0,25.0,0.0,8.09,8.5,0.0,10.0,9.29,69.7,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
Marquise Brown,BAL,16.0,16.0,146.0,91.0,62.3,1008.0,11.1,6.0,41.0,49.0,6.9,5.7,63.0,3.0,Baltimore Ravens,WR,6.33,5.17,0.0,0.0,5.8,68.67,49.67,0.0,0.0,61.6,10.8,0.0,0.0,0.0,0.0,0.44,0.0,0.0,0.0,0.4,43.0,39.0,0.0,0.0,42.0,10.11,9.33,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandin Cooks,HOU,16.0,16.0,134.0,90.0,67.2,1037.0,11.5,6.0,45.0,52.0,7.7,5.6,64.8,0.0,Houston Texans,WR,5.0,4.83,0.0,0.0,5.17,70.0,67.5,0.0,0.0,56.83,14.0,14.0,0.0,0.0,0.0,0.25,0.33,0.0,0.0,0.33,52.0,52.0,0.0,0.0,45.0,6.88,7.17,0.0,0.0,7.0,72.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amon-Ra St Brown,DET,17.0,9.0,119.0,90.0,75.6,912.0,10.1,5.0,48.0,37.0,7.7,5.3,53.6,0.0,Detroit Lions,WR,5.13,6.33,0.0,0.0,4.33,50.63,61.83,0.0,0.0,47.83,0.0,0.0,0.0,0.0,0.0,0.38,0.33,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,6.75,7.83,0.0,0.0,6.17,75.9,80.9,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.33
Michael Pittman,IND,17.0,17.0,129.0,88.0,68.2,1082.0,12.3,6.0,54.0,57.0,8.4,5.2,63.6,1.0,Indianapolis Colts,WR,4.89,5.83,0.0,0.0,5.29,57.22,66.83,0.0,0.0,69.57,11.7,11.5,0.0,0.0,13.2,0.33,0.5,0.0,0.0,0.43,42.0,38.0,0.0,0.0,57.0,7.33,8.33,0.0,0.0,8.86,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0
Jakobi Meyers,NWE,17.0,16.0,126.0,83.0,65.9,866.0,10.4,2.0,42.0,39.0,6.9,4.9,50.9,1.0,New England Patriots,WR,6.22,4.43,0.0,0.0,5.0,63.89,42.14,0.0,0.0,51.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,39.0,0.0,0.0,38.0,8.44,6.71,0.0,0.0,7.17,73.7,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.17
Cole Beasley,BUF,16.0,8.0,112.0,82.0,73.2,693.0,8.5,1.0,34.0,29.0,6.2,5.1,43.3,1.0,Buffalo Bills,WR,4.7,3.67,0.0,6.0,5.75,42.5,37.0,0.0,60.0,54.25,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,24.0,0.0,6.9,0.0,0.0,8.0,7.5,0.0,78.6,0.0,75.0,0.0,0.1,0.0,0.0,0.0,0.0
Ja'Marr Chase,CIN,17.0,17.0,128.0,81.0,63.3,1455.0,18.0,13.0,56.0,82.0,11.4,4.8,85.6,2.0,Cincinnati Bengals,WR,6.3,5.0,5.0,5.33,6.33,106.1,84.17,89.0,84.0,125.67,16.8,16.8,17.8,15.8,19.8,0.7,0.5,0.0,0.33,1.17,72.0,82.0,46.0,57.0,72.0,9.2,7.5,8.0,7.67,8.83,0.0,0.0,62.5,69.6,0.0,0.0,0.0,0.0,0.0,0.0
