Player,Tm_Abr,G_Tot,GS_Tot,Tgt_Tot,Rec_Tot,Ctch%_Tot,Yds_Tot,Y/R_Tot,TD_Tot,1D_Tot,Lng_Tot,Y/Tgt_Tot,R/G_Tot,Y/G_Tot,Fmb_Tot,Team,Pos,receiving/receiving-receptions_home_Avg,receiving/receiving-receptions_division_Avg,receiving/receiving-receptions_last_2_weeks_Avg,receiving/receiving-receptions_last_4_weeks_Avg,receiving/receiving-receptions_top_10_nfl_Avg,receiving/receiving-yards_home_Avg,receiving/receiving-yards_division_Avg,receiving/receiving-yards_last_2_weeks_Avg,receiving/receiving-yards_last_4_weeks_Avg,receiving/receiving-yards_top_10_nfl_Avg,receiving/receiving-yards-per-catch_home_Avg,receiving/receiving-yards-per-catch_division_Avg,receiving/receiving-yards-per-catch_last_2_weeks_Avg,receiving/receiving-yards-per-catch_last_4_weeks_Avg,receiving/receiving-yards-per-catch_top_10_nfl_Avg,receiving/receiving-touchdowns_home_Avg,receiving/receiving-touchdowns_division_Avg,receiving/receiving-touchdowns_last_2_weeks_Avg,receiving/receiving-touchdowns_last_4_weeks_Avg,receiving/receiving-touchdowns_top_10_nfl_Avg,receiving/receiving-longest-yards_home_Avg,receiving/receiving-longest-yards_division_Avg,receiving/receiving-longest-yards_last_2_weeks_Avg,receiving/receiving-longest-yards_last_4_weeks_Avg,receiving/receiving-longest-yards_top_10_nfl_Avg,receiving/receiving-targeted_home_Avg,receiving/receiving-targeted_division_Avg,receiving/receiving-targeted_last_2_weeks_Avg,receiving/receiving-targeted_last_4_weeks_Avg,receiving/receiving-targeted_top_10_nfl_Avg,receiving/receiving-catch-rate_home_Avg,receiving/receiving-catch-rate_division_Avg,receiving/receiving-catch-rate_last_2_weeks_Avg,receiving/receiving-catch-rate_last_4_weeks_Avg,receiving/receiving-catch-rate_top_10_nfl_Avg,receiving/receiving-2pt-conversions-succeeded_home_Avg,receiving/receiving-2pt-conversions-succeeded_division_Avg,receiving/receiving-2pt-conversions-succeeded_last_2_weeks_Avg,receiving/receiving-2pt-conversions-succeeded_last_4_weeks_Avg,receiving/receiving-2pt-conversions-succeeded_top_10_nfl_Avg
Najee Harris,PIT,17.0,17.0,94.0,74.0,78.7,467.0,6.3,3.0,22.0,25.0,5.0,4.4,27.5,0.0,Pittsburgh Steelers,RB,4.89,5.33,0.0,0.0,4.88,0.0,37.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.22,6.5,0.0,0.0,6.88,78.6,82.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tee Higgins,CIN,14.0,14.0,110.0,74.0,67.3,1091.0,14.7,6.0,53.0,54.0,9.9,5.3,77.9,1.0,Cincinnati Bengals,WR,5.67,7.75,4.0,5.67,5.0,88.89,112.0,100.0,99.67,84.5,15.7,14.5,25.0,17.6,16.9,0.56,0.75,2.0,0.67,0.33,52.0,52.0,75.0,75.0,75.0,7.89,11.0,7.0,8.67,7.5,71.8,0.0,57.1,65.4,0.0,0.11,0.0,0.0,0.0,0.17
Mike Gesicki,MIA,17.0,9.0,112.0,73.0,65.2,780.0,10.7,2.0,39.0,40.0,7.0,4.3,45.9,0.0,Miami Dolphins,TE,4.0,0.0,0.0,0.0,3.5,40.56,0.0,0.0,0.0,45.75,0.0,0.0,0.0,0.0,13.1,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,40.0,6.67,5.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.25
Marvin Jones,JAX,17.0,16.0,120.0,73.0,60.8,832.0,11.4,4.0,42.0,33.0,6.9,4.3,48.9,0.0,Jacksonville Jaguars,WR,4.13,3.83,0.0,0.0,3.43,45.0,51.5,0.0,0.0,0.0,10.9,13.4,0.0,0.0,0.0,0.25,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.88,6.67,0.0,0.0,5.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Lockett,SEA,16.0,16.0,107.0,73.0,68.2,1175.0,16.1,8.0,41.0,69.0,11.0,4.6,73.4,0.0,Seattle Seahawks,WR,5.5,5.0,0.0,0.0,5.2,78.25,72.4,0.0,0.0,70.0,14.2,14.5,0.0,0.0,13.5,0.38,0.6,0.0,0.0,0.4,63.0,48.0,0.0,0.0,63.0,7.38,6.6,0.0,0.0,8.4,74.6,75.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
George Kittle,SFO,14.0,14.0,94.0,71.0,75.5,910.0,12.8,6.0,42.0,48.0,9.7,5.1,65.0,2.0,San Francisco 49ers,TE,4.29,5.17,0.0,3.0,5.2,59.71,68.17,0.0,45.0,65.3,13.9,13.2,0.0,15.0,12.6,0.29,0.83,0.0,0.5,0.5,39.0,48.0,0.0,24.0,48.0,6.29,8.17,0.0,5.5,7.7,0.0,0.0,0.0,54.5,0.0,0.0,0.0,0.0,0.0,0.0
Austin Ekeler,LAC,16.0,16.0,94.0,70.0,74.5,647.0,9.2,8.0,31.0,40.0,6.9,4.4,40.4,4.0,Los Angeles Chargers,RB,4.56,4.5,0.0,0.0,6.0,41.78,43.33,0.0,0.0,45.25,0.0,0.0,0.0,0.0,0.0,0.56,0.67,0.0,0.0,0.25,40.0,40.0,0.0,0.0,0.0,5.89,6.33,0.0,0.0,6.0,77.4,71.1,0.0,0.0,100.0,0.0,0.17,0.0,0.0,0.0
Leonard Fournette,TAM,14.0,13.0,84.0,69.0,82.1,454.0,6.6,2.0,30.0,23.0,5.4,4.9,32.4,1.0,Tampa Bay Buccaneers,RB,5.13,5.25,0.0,9.0,5.25,0.0,0.0,0.0,56.0,0.0,0.0,0.0,0.0,6.2,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,6.13,6.0,0.0,9.0,6.5,83.7,87.5,0.0,100.0,80.8,0.0,0.0,0.0,0.0,0.0
Amari Cooper,DAL,15.0,14.0,104.0,68.0,65.4,865.0,12.7,8.0,45.0,41.0,8.3,4.5,57.7,1.0,Dallas Cowboys,WR,3.88,4.17,0.0,0.0,9.5,51.25,51.5,0.0,0.0,101.5,13.2,12.4,0.0,0.0,0.0,0.63,0.5,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,6.25,6.67,0.0,0.0,13.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Noah Fant,DEN,16.0,16.0,90.0,68.0,75.6,670.0,9.9,4.0,29.0,35.0,7.4,4.3,41.9,0.0,Denver Broncos,TE,4.11,4.33,0.0,0.0,0.0,40.11,46.67,0.0,0.0,35.33,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,5.56,5.33,0.0,0.0,0.0,74.0,81.3,0.0,0.0,83.3,0.0,0.0,0.0,0.0,0.0
Kyle Pitts,ATL,17.0,15.0,110.0,68.0,61.8,1026.0,15.1,1.0,43.0,61.0,9.3,4.0,60.4,0.0,Atlanta Falcons,TE,3.57,3.5,0.0,0.0,3.8,40.14,44.17,0.0,0.0,65.4,11.2,12.6,0.0,0.0,17.2,0.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,61.0,6.57,6.17,0.0,0.0,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Boyd,CIN,16.0,10.0,94.0,67.0,71.3,828.0,12.4,5.0,37.0,68.0,8.8,4.2,51.8,1.0,Cincinnati Bengals,WR,3.9,0.0,5.0,3.67,3.83,48.5,36.8,48.0,28.0,0.0,12.4,13.1,9.6,7.6,0.0,0.3,0.4,0.0,0.0,0.0,68.0,68.0,16.0,16.0,0.0,5.2,0.0,6.0,5.0,5.17,75.0,0.0,83.3,73.3,0.0,0.0,0.0,0.0,0.0,0.0
Adam Thielen,MIN,13.0,13.0,95.0,67.0,70.5,726.0,10.8,10.0,37.0,35.0,7.6,5.2,55.8,1.0,Minnesota Vikings,WR,4.67,3.67,0.0,0.0,6.17,56.0,40.67,0.0,0.0,67.33,12.0,0.0,0.0,0.0,0.0,0.5,0.33,0.0,0.0,1.17,0.0,0.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,8.0,0.0,73.3,0.0,0.0,77.1,0.0,0.0,0.0,0.0,0.0
Russell Gage,ATL,14.0,9.0,94.0,66.0,70.2,770.0,11.7,4.0,37.0,49.0,8.2,4.7,55.0,2.0,Atlanta Falcons,WR,4.83,6.0,0.0,0.0,5.4,57.33,68.67,0.0,0.0,59.8,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,0.0,0.0,0.0,6.67,7.67,0.0,0.0,7.8,72.5,78.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devonta Smith,PHI,17.0,16.0,104.0,64.0,61.5,916.0,14.3,5.0,43.0,46.0,8.8,3.8,53.9,1.0,Philadelphia Eagles,WR,3.88,0.0,0.0,0.0,3.5,63.38,44.17,0.0,0.0,49.67,16.4,13.9,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,46.0,46.0,0.0,0.0,37.0,6.13,5.33,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
Aj Brown,TEN,13.0,13.0,105.0,63.0,60.0,869.0,13.8,5.0,45.0,57.0,8.3,4.8,66.8,0.0,Tennessee Titans,WR,4.78,4.4,0.0,5.0,6.5,73.89,61.8,0.0,142.0,99.33,15.5,14.0,0.0,28.4,15.3,0.44,0.4,0.0,1.0,0.5,46.0,57.0,0.0,41.0,46.0,7.89,6.8,0.0,9.0,10.5,0.0,0.0,0.0,55.6,0.0,0.0,0.0,0.0,0.0,0.0
Laviska Shenault,JAX,16.0,10.0,100.0,63.0,63.0,619.0,9.8,0.0,30.0,58.0,6.2,3.9,38.7,1.0,Jacksonville Jaguars,WR,3.75,4.0,0.0,0.0,3.57,38.88,43.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,12.3,0.0,0.0,0.0,0.0,0.0,58.0,58.0,0.0,0.0,58.0,5.75,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D'Andre Swift,DET,13.0,4.0,78.0,62.0,79.5,452.0,7.3,2.0,18.0,63.0,5.8,4.8,34.8,2.0,Detroit Lions,RB,5.33,4.2,0.0,0.0,5.17,36.17,0.0,0.0,0.0,44.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,43.0,0.0,0.0,0.0,63.0,6.33,5.0,0.0,0.0,6.83,84.2,84.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Conklin,MIN,17.0,15.0,87.0,61.0,70.1,593.0,9.7,3.0,26.0,40.0,6.8,3.6,34.9,1.0,Minnesota Vikings,TE,3.63,3.33,0.0,0.0,4.29,0.0,0.0,0.0,0.0,45.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.17,0.0,0.0,5.57,76.3,0.0,0.0,0.0,76.9,0.0,0.0,0.0,0.0,0.0
Tyler Higbee,LAR,15.0,15.0,85.0,61.0,71.8,560.0,9.2,5.0,33.0,37.0,6.6,4.1,37.3,1.0,Los Angeles Rams,TE,4.44,3.33,0.0,3.0,3.5,45.33,0.0,0.0,34.5,0.0,0.0,0.0,0.0,11.5,0.0,0.33,0.67,0.0,0.0,0.63,0.0,0.0,0.0,29.0,0.0,6.22,0.0,0.0,5.0,5.63,71.4,71.4,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
Tj Hockenson,DET,12.0,12.0,84.0,61.0,72.6,583.0,9.6,4.0,32.0,33.0,6.9,5.1,48.6,0.0,Detroit Lions,TE,5.83,4.2,0.0,0.0,7.5,59.0,42.8,0.0,0.0,71.25,0.0,0.0,0.0,0.0,0.0,0.5,0.6,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,7.67,6.2,0.0,0.0,10.0,76.1,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.25
Pat Freiermuth,PIT,16.0,9.0,79.0,60.0,75.9,497.0,8.3,7.0,34.0,24.0,6.3,3.8,31.1,1.0,Pittsburgh Steelers,TE,4.22,4.17,0.0,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.5,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,5.22,5.83,0.0,0.0,0.0,80.9,71.4,0.0,0.0,88.9,0.11,0.17,0.0,0.0,0.0
Cole Kmet,CHI,17.0,17.0,93.0,60.0,64.5,612.0,10.2,0.0,29.0,25.0,6.6,3.5,36.0,0.0,0,0,0.0,4.33,0.0,0.0,3.57,0.0,42.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Claypool,PIT,15.0,13.0,105.0,59.0,56.2,860.0,14.6,2.0,35.0,59.0,8.2,3.9,57.3,0.0,Pittsburgh Steelers,WR,3.38,4.33,0.0,0.0,3.43,53.0,54.83,0.0,0.0,45.43,15.7,12.7,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,59.0,41.0,0.0,0.0,41.0,7.0,7.83,0.0,0.0,7.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mecole Hardman,KAN,17.0,8.0,83.0,59.0,71.1,693.0,11.7,2.0,33.0,53.0,8.3,3.5,40.8,3.0,Kansas City Chiefs,WR,3.25,0.0,0.0,2.0,0.0,38.25,40.83,0.0,39.0,40.0,11.8,13.6,0.0,19.5,12.2,0.25,0.0,0.0,0.5,0.0,44.0,44.0,0.0,44.0,53.0,0.0,0.0,0.0,2.5,0.0,75.0,72.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0
Courtland Sutton,DEN,17.0,16.0,98.0,58.0,59.2,776.0,13.4,2.0,35.0,55.0,7.9,3.4,45.6,0.0,0,0,0.0,3.33,0.0,0.0,0.0,0.0,38.67,0.0,0.0,0.0,11.5,11.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,5.44,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Brandon Aiyuk,SFO,17.0,16.0,84.0,56.0,66.7,826.0,14.8,5.0,37.0,43.0,9.8,3.3,48.6,2.0,0,0,0.0,3.57,0.0,2.0,3.6,49.25,56.14,0.0,34.5,47.7,17.1,15.7,0.0,17.3,13.3,0.0,0.0,0.0,0.0,0.3,43.0,0.0,0.0,31.0,37.0,0.0,5.71,0.0,4.5,5.6,0.0,0.0,0.0,44.4,0.0,0.0,0.0,0.0,0.0,0.0
Dallas Goedert,PHI,15.0,14.0,76.0,56.0,73.7,830.0,14.8,4.0,42.0,45.0,10.9,3.7,55.3,1.0,Philadelphia Eagles,TE,4.0,3.6,0.0,0.0,3.75,58.0,60.0,0.0,0.0,59.5,14.5,16.7,0.0,0.0,15.9,0.0,0.0,0.0,0.0,0.25,45.0,45.0,0.0,0.0,38.0,5.67,5.4,0.0,0.0,5.75,70.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendrick Bourne,NWE,17.0,5.0,70.0,55.0,78.6,800.0,14.5,5.0,27.0,75.0,11.4,3.2,47.1,1.0,New England Patriots,WR,3.67,0.0,0.0,0.0,0.0,64.67,0.0,0.0,0.0,50.67,17.6,12.1,0.0,0.0,15.2,0.56,0.29,0.0,0.0,0.83,75.0,46.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,78.6,73.1,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0
Rob Gronkowski,TAM,12.0,12.0,89.0,55.0,61.8,802.0,14.6,6.0,34.0,42.0,9.0,4.6,66.8,0.0,Tampa Bay Buccaneers,TE,5.13,0.0,0.0,4.0,5.25,68.0,47.67,0.0,85.0,73.0,13.3,15.9,0.0,21.3,13.9,0.63,0.67,0.0,0.0,0.5,42.0,42.0,0.0,42.0,42.0,8.5,6.17,0.0,11.0,9.0,0.0,0.0,0.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0
Darren Waller,LVR,11.0,11.0,93.0,55.0,59.1,665.0,12.1,2.0,31.0,33.0,7.2,5.0,60.5,0.0,Las Vegas Raiders,TE,5.33,3.75,0.0,0.0,5.0,61.0,38.75,0.0,0.0,62.25,11.4,0.0,0.0,0.0,12.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.67,7.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aj Green,ARI,16.0,9.0,92.0,54.0,58.7,848.0,15.7,3.0,37.0,42.0,9.2,3.4,53.0,0.0,0,0,0.0,3.5,0.0,0.0,3.44,41.88,47.17,0.0,0.0,48.0,13.4,13.5,0.0,0.0,13.9,0.0,0.0,0.0,0.0,0.0,41.0,41.0,0.0,0.0,42.0,5.75,6.17,0.0,0.0,6.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Jacobs,LVR,15.0,14.0,64.0,54.0,84.4,348.0,6.4,0.0,14.0,29.0,5.4,3.6,23.2,2.0,Las Vegas Raiders,RB,3.75,3.17,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,83.3,86.4,0.0,0.0,77.8,0.0,0.0,0.0,0.0,0.0
Rondale Moore,ARI,14.0,7.0,64.0,54.0,84.4,435.0,8.1,1.0,18.0,77.0,6.8,3.9,31.1,3.0,Arizona Cardinals,WR,3.67,5.33,0.0,0.0,4.88,38.17,0.0,0.0,0.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,0.0,4.83,5.83,0.0,0.0,5.5,75.9,91.4,0.0,0.0,88.6,0.0,0.0,0.0,0.0,0.0
Robby Anderson,CAR,17.0,16.0,110.0,53.0,48.2,519.0,9.8,5.0,27.0,57.0,4.7,3.1,30.5,0.0,Carolina Panthers,WR,3.38,4.0,0.0,0.0,5.0,38.75,40.0,0.0,0.0,45.75,11.5,0.0,0.0,0.0,0.0,0.38,0.33,0.0,0.0,0.25,57.0,0.0,0.0,0.0,0.0,7.25,6.67,0.0,0.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tim Patrick,DEN,16.0,16.0,85.0,53.0,62.4,734.0,13.8,5.0,39.0,44.0,8.6,3.3,45.9,0.0,Denver Broncos,WR,3.33,0.0,0.0,0.0,3.5,49.0,38.0,0.0,0.0,57.75,14.7,13.6,0.0,0.0,16.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,44.0,5.44,5.6,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Jones,GNB,15.0,15.0,65.0,52.0,80.0,391.0,7.5,6.0,22.0,26.0,6.0,3.5,26.1,2.0,Green Bay Packers,RB,4.44,4.5,0.0,9.0,0.0,43.33,0.0,0.0,129.0,0.0,0.0,0.0,0.0,14.3,0.0,0.44,1.25,0.0,0.0,0.0,75.0,0.0,0.0,75.0,75.0,5.22,4.75,0.0,10.0,0.0,85.1,94.7,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarvis Landry,CLE,12.0,12.0,87.0,52.0,59.8,570.0,11.0,2.0,30.0,38.0,6.6,4.3,47.5,3.0,Cleveland Browns,WR,4.33,4.83,0.0,0.0,4.5,42.17,57.67,0.0,0.0,53.0,0.0,11.9,0.0,0.0,11.8,0.33,0.33,0.0,0.0,0.25,0.0,38.0,0.0,0.0,0.0,7.5,8.83,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cordarrelle Patterson,ATL,16.0,13.0,69.0,52.0,75.4,548.0,10.5,5.0,26.0,64.0,7.9,3.3,34.3,2.0,0,0,0.0,3.67,0.0,0.0,0.0,0.0,40.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.33,0.0,0.0,0.0,42.0,64.0,0.0,0.0,0.0,0.0,4.83,0.0,0.0,0.0,81.0,75.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jamison Crowder,NYJ,12.0,4.0,71.0,51.0,71.8,447.0,8.8,2.0,24.0,29.0,6.3,4.3,37.3,1.0,New York Jets,WR,5.17,3.8,0.0,0.0,4.75,48.33,0.0,0.0,0.0,45.25,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,7.0,5.4,0.0,0.0,6.0,73.8,0.0,0.0,0.0,79.2,0.0,0.0,0.0,0.0,0.0
Hunter Henry,NWE,17.0,10.0,75.0,50.0,66.7,603.0,12.1,9.0,34.0,35.0,8.0,2.9,35.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.8,0.0,0.0,0.0,0.56,0.0,0.0,0.0,0.33,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Van Jefferson,LAR,17.0,17.0,89.0,50.0,56.2,802.0,16.0,6.0,32.0,79.0,9.0,2.9,47.2,0.0,Los Angeles Rams,WR,3.27,0.0,4.0,2.67,0.0,42.18,40.25,23.0,20.33,36.1,12.9,16.9,5.8,7.6,13.9,0.36,0.0,0.0,0.0,0.0,67.0,52.0,13.0,18.0,79.0,5.09,0.0,8.0,5.33,5.4,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
Kj Osborn,MIN,17.0,9.0,82.0,50.0,61.0,655.0,13.1,7.0,26.0,64.0,8.0,2.9,38.5,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.29,13.4,11.5,0.0,0.0,12.1,0.38,0.5,0.0,0.0,0.29,62.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Myles Gaskin,MIA,17.0,10.0,63.0,49.0,77.8,234.0,4.8,4.0,13.0,24.0,3.7,2.9,13.8,2.0,0,0,0.0,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.7,85.7,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0
Dawson Knox,BUF,15.0,14.0,71.0,49.0,69.0,587.0,12.0,9.0,31.0,53.0,8.3,3.3,39.1,0.0,Buffalo Bills,TE,3.67,0.0,0.0,2.0,3.75,44.11,0.0,0.0,9.0,52.75,12.0,13.1,0.0,0.0,14.1,0.56,0.67,0.0,0.0,0.5,0.0,38.0,0.0,8.0,53.0,5.56,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cj Uzomah,CIN,16.0,16.0,63.0,49.0,77.8,493.0,10.1,5.0,24.0,55.0,7.8,3.1,30.8,0.0,Cincinnati Bengals,TE,3.8,0.0,2.0,3.0,0.0,38.7,0.0,11.0,27.33,0.0,0.0,0.0,5.5,9.1,0.0,0.3,0.4,0.0,0.0,0.0,0.0,55.0,6.0,32.0,0.0,4.9,0.0,2.0,4.0,0.0,77.6,78.9,100.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Cook,LAC,16.0,10.0,83.0,48.0,57.8,564.0,11.8,4.0,31.0,42.0,6.8,3.0,35.3,0.0,0,0,0.0,3.4,0.0,0.0,0.0,0.0,46.8,0.0,0.0,0.0,11.0,13.8,0.0,0.0,0.0,0.25,0.4,0.0,0.0,0.0,0.0,42.0,0.0,0.0,0.0,5.0,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gerald Everett,SEA,15.0,12.0,63.0,48.0,76.2,478.0,10.0,4.0,26.0,41.0,7.6,3.2,31.9,2.0,0,0,0.0,0.0,0.0,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.4,70.6,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0
Kalif Raymond,DET,16.0,14.0,71.0,48.0,67.6,576.0,12.0,4.0,28.0,75.0,8.1,3.0,36.0,0.0,Detroit Lions,WR,3.25,0.0,0.0,0.0,4.2,40.63,0.0,0.0,0.0,64.2,12.5,15.3,0.0,0.0,15.3,0.0,0.5,0.0,0.0,0.0,75.0,75.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,5.2,72.2,0.0,0.0,0.0,80.8,0.0,0.0,0.0,0.0,0.0
Ezekiel Elliott,DAL,17.0,17.0,65.0,47.0,72.3,287.0,6.1,2.0,17.0,21.0,4.4,2.8,16.9,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zay Jones,LVR,17.0,9.0,70.0,47.0,67.1,546.0,11.6,1.0,29.0,43.0,7.8,2.8,32.1,1.0,0,0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,37.4,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alvin Kamara,NOR,13.0,10.0,67.0,47.0,70.1,439.0,9.3,5.0,20.0,31.0,6.6,3.6,33.8,0.0,0,0,0.0,3.33,0.0,0.0,4.5,0.0,0.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.17,0.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darrel Williams,KAN,17.0,7.0,57.0,47.0,82.5,452.0,9.6,2.0,19.0,38.0,7.9,2.8,26.6,0.0,0,0,0.0,3.33,0.0,0.0,0.0,0.0,38.83,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,38.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
