Player,Game,FPTS  Fantasy Points,ATT  Rushing Attempts,YDS  Rushing Yards,TD  Rushing Touchdowns,REC  Receptions,YDS  Receiving Yards,TGT  Targets,TD  Receiving Touchdowns,Week,Pos
Derrick Henry,CIN 19 - TEN 16,12,20,62,1,0,0,0,0,20,RB
Jerick McKinnon,KC 42 - BUF 36,12,10,24,0,5,54,7,0,20,RB
Elijah Mitchell,SF 13 - GB 10,9,17,53,0,3,18,4,0,20,RB
A.J. Dillon,SF 13 - GB 10,8,7,25,1,0,0,0,0,20,RB
Clyde Edwards-Helaire,KC 42 - BUF 36,7,7,60,0,1,9,2,0,20,RB
D'Onta Foreman,CIN 19 - TEN 16,6,4,66,0,0,0,0,0,20,RB
Cam Akers,LAR 30 - TB 27,5,24,48,0,3,20,3,0,20,RB
Dontrell Hilliard,CIN 19 - TEN 16,4,0,0,0,3,13,3,0,20,RB
Sony Michel,LAR 30 - TB 27,2,1,4,0,2,-4,2,0,20,RB
Samaje Perine,CIN 19 - TEN 16,1,0,0,0,1,4,2,0,20,RB
Khari Blasingame,CIN 19 - TEN 16,0,0,0,0,0,0,1,0,20,RB
Taiwan Jones,KC 42 - BUF 36,0,0,0,0,0,0,0,0,20,RB
Chris Evans,CIN 19 - TEN 16,0,1,4,0,0,0,0,0,20,RB
Giovani Bernard,LAR 30 - TB 27,0,0,0,0,0,0,1,0,20,RB
JaMycal Hasty,SF 13 - GB 10,0,0,0,0,0,0,0,0,20,RB
Samaje Perine,CIN 27 - KC 24,13,0,0,0,3,43,4,1,21,RB
Jerick McKinnon,CIN 27 - KC 24,12,12,65,0,3,30,4,0,21,RB
Elijah Mitchell,LAR 20 - SF 17,10,11,20,0,3,50,3,0,21,RB
Cam Akers,LAR 20 - SF 17,5,13,48,0,1,2,1,0,21,RB
Clyde Edwards-Helaire,CIN 27 - KC 24,4,6,36,0,1,4,2,0,21,RB
Sony Michel,LAR 20 - SF 17,2,10,16,0,1,-4,2,0,21,RB
JaMycal Hasty,LAR 20 - SF 17,1,0,0,0,1,6,3,0,21,RB
Trey Sermon,LAR 20 - SF 17,0,0,0,0,0,0,0,0,21,RB
Buddy Howell,LAR 20 - SF 17,0,0,0,0,0,0,0,0,21,RB
Chris Evans,CIN 27 - KC 24,0,0,0,0,0,0,0,0,21,RB
Joe Mixon,LAR 23 - CIN 20,18,15,72,0,5,1,6,0,23,RB
Darrell Henderson,LAR 23 - CIN 20,7,4,7,0,3,43,5,0,23,RB
Cam Akers,LAR 23 - CIN 20,6,13,21,0,3,14,4,0,23,RB
Chris Evans,LAR 23 - CIN 20,1,0,0,0,1,3,2,0,23,RB
Sony Michel,LAR 23 - CIN 20,0,2,2,0,0,0,0,0,23,RB
Buddy Howell,LAR 23 - CIN 20,0,0,0,0,0,0,0,0,23,RB
Samaje Perine,LAR 23 - CIN 20,0,2,0,0,0,0,1,0,23,RB
